topology,workload,meander_density,n_edges,max_degree,total_route_length_mm,longest_route_mm,crossings,drc_violations,drc_notes,crosstalk_proxy,workload_mismatch,min_est_qw_freq_ghz,avg_est_qw_freq_ghz,input_pitch_mm,norm_total_route_length_mm,norm_longest_route_mm,norm_crossings,norm_drc_violations,norm_crosstalk_proxy,norm_workload_mismatch,cost
linear,GHZ,2,4,2,7.199999999999999,1.7999999999999998,0,0,PASS,0.4,1.5,16.99857756561937,16.99857756561937,1.5,0.17777777777777773,0.23890784982935137,0.0,0.0,0.25,1.0,0.15889173302995824
linear,GHZ,3,4,2,6.760000000000001,1.6900000000000002,0,0,PASS,0.6000000000000001,1.5,18.1049938568727,18.1049938568727,1.3,0.1498412698412699,0.20136518771331052,0.0,0.0,0.37500000000000006,1.0,0.16642303212525056
ring,GHZ,1,5,2,10.45,2.09,0,0,PASS,0.25,0.5,14.639923262255918,14.639923262255916,1.9,0.3841269841269841,0.3378839590443684,0.0,0.0,0.15625,0.3333333333333333,0.16761215734871876
ring,GHZ,0,5,2,11.5,2.3000000000000003,0,0,PASS,0.0,0.5,13.303234616571679,13.303234616571682,2.3,0.4507936507936508,0.409556313993174,0.0,0.0,0.0,0.3333333333333333,0.1682588439243729
star,GHZ,1,4,4,6.6000000000000005,1.6500000000000001,0,0,PASS,1.2,0.0,18.54390279885749,18.54390279885749,1.5,0.1396825396825397,0.18771331058020474,0.0,0.0,0.7499999999999999,0.0,0.16859350452353863
ring,GHZ,3,5,2,8.450000000000001,1.6900000000000004,0,0,PASS,0.75,0.5,18.104993856872696,18.1049938568727,1.3,0.25714285714285723,0.2013651877133106,0.0,0.0,0.46875,0.3333333333333333,0.1686125162522347
linear,GHZ,1,4,2,8.36,2.09,0,0,PASS,0.2,1.5,14.639923262255918,14.639923262255918,1.9,0.2514285714285714,0.3378839590443684,0.0,0.0,0.125,1.0,0.16971830814236954
linear,GHZ,0,4,2,9.2,2.3,0,0,PASS,0.0,1.5,13.303234616571682,13.303234616571682,2.3,0.30476190476190473,0.4095563139931738,0.0,0.0,0.0,1.0,0.17238582805135705
star,GHZ,0,4,4,7.6,1.9,0,0,PASS,1.0,0.0,16.10391558848151,16.10391558848151,1.9,0.20317460317460315,0.2730375426621159,0.0,0.0,0.625,0.0,0.175340552034238
star,GHZ,2,4,4,6.24,1.56,0,0,PASS,1.4,0.0,19.613743344945423,19.613743344945423,1.3,0.11682539682539683,0.15699658703071664,0.0,0.0,0.8749999999999999,0.0,0.17816456741968684
linear,GHZ,2,4,2,8.16,2.04,0,0,PASS,0.4,1.5,14.99874491084062,14.99874491084062,1.7,0.23873015873015874,0.32081911262798624,0.0,0.0,0.25,1.0,0.1833688986402297
star,GHZ,3,4,4,5.720000000000001,1.4300000000000002,0,0,PASS,1.6,0.0,21.396810921758643,21.396810921758643,1.1,0.08380952380952383,0.11262798634812285,0.0,0.0,1.0,0.0,0.1836561027141232
ring,GHZ,2,5,2,10.2,2.04,0,0,PASS,0.5,0.5,14.99874491084062,14.99874491084062,1.7,0.3682539682539682,0.32081911262798624,0.0,0.0,0.3125,0.3333333333333333,0.18531532721165825
